temperature_C,day,ac_count,ac_hours,fridge_count,fridge_hours,tv_count,tv_hours,light_count,light_hours,fan_count,fan_hours,ac_kwh,fridge_kwh,tv_kwh,light_kwh,fan_kwh,total_kwh
32.0,Thursday,1,6.75,1,19.5,1,1.4,6,4.3,1,8.4,11.34,2.92,0.14,1.55,0.42,16.41
29.8,Thursday,1,3.43,1,19.9,0,4.9,5,5.7,2,6.7,4.8,2.98,0.0,1.71,0.67,10.04
35.5,Wednesday,1,6.06,1,17.1,1,2.6,4,5.5,3,3.7,13.14,2.56,0.26,1.32,0.56,17.8
30.6,Wednesday,1,4.84,1,20.0,1,4.5,4,6.1,2,5.0,7.19,3.0,0.45,1.46,0.5,12.8
30.8,Tuesday,2,5.97,1,22.2,1,3.6,5,9.9,2,10.8,9.03,3.33,0.36,2.97,1.08,16.95
28.2,Saturday,0,0.0,1,19.7,1,2.9,5,3.2,2,7.9,0.0,2.95,0.29,0.96,0.79,5.18
29.7,Sunday,2,4.58,1,20.0,0,4.0,6,3.5,3,5.5,6.41,3.0,0.0,1.26,0.82,11.64
31.5,Wednesday,0,0.0,1,18.5,1,2.3,4,1.0,2,3.5,0.0,2.78,0.23,0.24,0.35,3.89
21.4,Sunday,1,4.56,1,20.3,0,2.7,3,3.6,1,2.2,6.38,3.04,0.0,0.65,0.11,10.21
23.3,Wednesday,1,3.76,1,18.8,1,2.5,4,3.0,3,8.4,5.26,2.82,0.25,0.72,1.26,10.42
33.7,Wednesday,1,3.41,1,21.3,0,2.8,4,4.5,3,8.5,6.53,3.2,0.0,1.08,1.28,11.97
30.9,Thursday,1,3.42,1,21.7,0,3.5,4,5.4,1,5.9,5.22,3.26,0.0,1.3,0.3,10.11
29.1,Tuesday,1,2.2,1,22.0,1,3.5,4,0.6,2,5.2,3.08,3.3,0.35,0.14,0.52,7.43
30.1,Thursday,1,4.99,1,17.8,1,1.4,2,1.9,2,8.3,7.06,2.67,0.14,0.23,0.83,11.05
31.7,Friday,1,4.52,1,21.1,2,2.5,4,6.3,1,3.0,7.41,3.16,0.5,1.51,0.15,12.64
27.3,Thursday,1,4.23,1,21.0,1,2.6,5,6.9,3,10.0,5.92,3.15,0.26,2.07,1.5,12.67
26.1,Sunday,2,3.82,1,19.4,1,3.6,5,5.4,2,7.5,5.35,2.91,0.36,1.62,0.75,10.9
31.0,Sunday,1,3.03,1,21.8,1,1.6,4,5.2,3,3.5,4.66,3.27,0.16,1.25,0.52,10.02
25.1,Friday,1,4.06,1,20.6,1,3.7,2,2.3,1,7.6,5.68,3.09,0.37,0.28,0.38,9.77
32.0,Monday,1,4.97,1,22.1,0,1.9,4,2.7,2,4.6,8.35,3.32,0.0,0.65,0.46,12.85
21.5,Monday,1,2.72,1,18.1,1,3.2,5,2.8,0,3.3,3.81,2.72,0.32,0.84,0.0,7.6
35.1,Friday,1,4.54,1,18.9,0,4.1,4,12.5,2,7.6,9.6,2.83,0.0,3.0,0.76,16.35
32.4,Friday,1,3.65,1,20.1,1,1.8,5,8.8,2,3.8,6.34,3.02,0.18,2.64,0.38,12.54
31.3,Thursday,0,0.0,1,21.8,1,3.2,4,8.2,2,3.3,0.0,3.27,0.32,1.97,0.33,5.87
34.9,Friday,1,3.26,1,20.7,1,2.8,3,5.2,1,7.0,6.79,3.1,0.28,0.94,0.35,11.66
38.3,Tuesday,0,0.0,1,18.6,2,2.0,5,11.3,1,5.8,0.0,2.79,0.4,3.39,0.29,7.11
35.1,Monday,1,6.43,1,22.7,1,1.8,2,3.4,1,8.0,13.59,3.4,0.18,0.41,0.4,18.18
20.8,Monday,1,2.99,1,19.6,1,2.3,4,0.0,1,5.4,4.19,2.94,0.23,0.0,0.27,7.58
23.6,Saturday,2,3.03,1,18.6,1,2.2,3,2.3,2,5.2,4.24,2.79,0.22,0.41,0.52,8.09
26.9,Friday,1,3.31,1,18.8,1,2.8,2,3.0,2,1.9,4.63,2.82,0.28,0.36,0.19,8.14
30.1,Wednesday,0,0.0,1,18.0,1,2.6,4,5.9,2,7.0,0.0,2.7,0.26,1.42,0.7,4.86
32.6,Wednesday,2,6.33,1,16.6,2,3.4,4,5.7,2,6.0,11.16,2.49,0.68,1.37,0.6,16.16
26.4,Friday,2,5.23,1,19.8,1,3.8,5,2.9,1,8.4,7.32,2.97,0.38,0.87,0.42,11.83
30.9,Tuesday,1,4.08,1,17.7,1,1.5,5,4.8,1,7.5,6.22,2.66,0.15,1.44,0.38,10.66
26.2,Wednesday,1,3.24,1,20.5,1,2.7,5,7.5,1,6.7,4.54,3.08,0.27,2.25,0.34,10.25
26.9,Saturday,2,2.19,1,21.5,1,2.1,4,5.4,2,4.5,3.07,3.22,0.21,1.3,0.45,8.05
23.0,Sunday,1,2.78,1,20.6,1,1.9,4,7.4,2,5.2,3.89,3.09,0.19,1.78,0.52,9.46
25.4,Friday,2,1.92,1,20.1,2,1.4,4,2.5,1,7.1,2.69,3.02,0.28,0.6,0.36,7.02
23.2,Tuesday,0,0.0,1,17.7,1,1.4,4,6.6,1,5.9,0.0,2.66,0.14,1.58,0.3,4.73
25.1,Tuesday,0,0.0,1,21.3,1,2.5,4,3.8,3,8.8,0.0,3.2,0.25,0.91,1.32,5.6
35.3,Thursday,1,4.15,1,22.9,1,3.4,6,6.6,2,8.6,8.89,3.43,0.34,2.38,0.86,15.85
25.3,Tuesday,1,4.15,1,22.1,1,3.4,2,2.6,2,5.5,5.81,3.32,0.34,0.31,0.55,10.39
43.2,Wednesday,2,3.8,1,18.0,1,1.9,6,1.1,2,6.2,12.34,2.7,0.19,0.4,0.62,16.28
32.5,Sunday,2,2.25,1,19.9,0,1.8,2,2.8,1,4.4,3.94,2.98,0.0,0.34,0.22,7.56
30.9,Wednesday,1,4.29,1,19.6,1,3.2,3,6.5,3,5.8,6.55,2.94,0.32,1.17,0.87,11.71
25.7,Friday,0,0.0,1,19.4,0,2.6,3,1.6,2,7.9,0.0,2.91,0.0,0.29,0.79,4.25
33.5,Sunday,2,6.33,1,20.0,1,3.9,4,10.3,1,4.9,11.96,3.0,0.39,2.47,0.25,18.16
27.1,Friday,1,5.95,1,23.2,1,1.9,2,1.8,2,5.3,8.33,3.48,0.19,0.22,0.53,12.86
30.6,Tuesday,0,0.0,1,20.2,1,1.1,6,10.4,2,3.7,0.0,3.03,0.11,3.74,0.37,7.09
42.8,Saturday,1,6.37,1,19.3,1,3.6,5,2.3,1,4.9,20.34,2.9,0.36,0.69,0.25,24.38
29.5,Monday,1,4.44,1,20.4,0,1.1,5,13.9,2,7.2,6.22,3.06,0.0,4.17,0.72,14.07
35.7,Sunday,1,4.62,1,18.0,1,1.6,4,2.5,1,5.5,10.16,2.7,0.16,0.6,0.28,14.01
26.5,Thursday,1,3.84,1,18.9,1,2.3,6,8.8,1,3.7,5.38,2.83,0.23,3.17,0.19,11.63
29.8,Monday,1,3.99,1,21.5,1,2.7,5,4.9,2,6.4,5.59,3.22,0.27,1.47,0.64,11.26
38.9,Tuesday,2,4.75,1,20.3,1,3.6,4,5.2,1,5.9,12.57,3.04,0.36,1.25,0.3,17.74
26.9,Tuesday,1,5.53,1,23.2,2,2.0,5,7.0,2,8.2,7.74,3.48,0.4,2.1,0.82,14.43
39.1,Monday,1,5.15,1,20.4,1,4.3,4,4.5,3,5.7,13.77,3.06,0.43,1.08,0.86,19.06
33.5,Thursday,1,6.37,1,18.1,1,1.5,4,3.5,1,4.0,12.04,2.72,0.15,0.84,0.2,15.84
27.2,Sunday,1,3.05,1,17.6,2,2.6,3,3.9,2,7.9,4.27,2.64,0.52,0.7,0.79,8.9
33.2,Sunday,1,1.29,1,21.5,1,3.8,4,5.1,2,4.1,2.39,3.22,0.38,1.22,0.41,7.76
34.9,Monday,0,0.0,1,18.4,1,3.9,2,3.1,2,3.4,0.0,2.76,0.39,0.37,0.34,4.01
33.1,Friday,1,3.49,1,18.3,1,0.0,3,5.0,2,3.9,6.41,2.74,0.0,0.9,0.39,10.56
22.1,Wednesday,1,2.21,1,19.2,1,5.7,5,9.4,1,4.8,3.09,2.88,0.57,2.82,0.24,9.31
26.4,Saturday,1,5.13,1,21.5,1,2.7,6,10.2,2,2.2,7.18,3.22,0.27,3.67,0.22,14.53
28.8,Friday,0,0.0,1,19.4,1,3.3,6,8.5,2,2.5,0.0,2.91,0.33,3.06,0.25,6.42
29.6,Sunday,1,4.73,1,18.7,1,2.7,4,4.6,3,7.6,6.62,2.8,0.27,1.1,1.14,11.99
33.1,Wednesday,1,6.63,1,21.8,1,5.1,4,1.2,1,5.7,12.16,3.27,0.51,0.29,0.29,16.66
30.9,Saturday,0,0.0,1,21.6,1,4.3,2,2.9,3,5.7,0.0,3.24,0.43,0.35,0.86,4.81
23.3,Saturday,0,0.0,1,22.5,1,5.1,5,10.3,1,5.9,0.0,3.38,0.51,3.09,0.3,7.57
31.9,Saturday,2,5.77,1,22.0,1,3.5,2,1.6,3,7.1,9.62,3.3,0.35,0.19,1.06,14.38
33.1,Tuesday,2,3.95,1,21.6,2,3.9,3,2.7,2,4.4,7.24,3.24,0.78,0.49,0.44,12.27
32.8,Saturday,1,4.75,1,18.9,1,2.0,5,11.0,2,7.1,8.51,2.83,0.2,3.3,0.71,15.87
35.4,Thursday,1,5.33,1,21.0,1,2.7,3,7.3,2,6.2,11.49,3.15,0.27,1.31,0.62,16.98
34.2,Monday,1,4.69,1,21.8,2,3.9,1,0.8,1,4.1,9.33,3.27,0.78,0.05,0.2,13.72
32.3,Sunday,2,3.86,1,22.8,2,3.3,5,15.2,1,7.2,6.64,3.42,0.66,4.56,0.36,15.61
29.6,Thursday,1,3.32,1,20.3,0,3.1,3,4.8,1,6.1,4.65,3.04,0.0,0.86,0.3,8.94
21.7,Monday,1,2.54,1,19.3,1,2.2,2,3.9,1,3.9,3.56,2.9,0.22,0.47,0.2,7.27
32.1,Friday,0,0.0,1,18.7,1,4.2,2,2.2,1,4.1,0.0,2.8,0.42,0.26,0.2,3.85
31.0,Friday,1,3.54,1,21.5,1,4.2,3,4.5,2,7.0,5.46,3.22,0.42,0.81,0.7,10.5
31.4,Monday,2,5.55,1,19.0,1,4.0,2,3.2,2,8.0,8.86,2.85,0.4,0.38,0.8,13.25
23.6,Thursday,1,5.1,1,20.2,2,3.3,5,3.7,1,6.6,7.14,3.03,0.66,1.11,0.33,12.14
24.6,Monday,1,2.65,1,18.7,1,3.0,3,7.3,3,7.8,3.71,2.8,0.3,1.31,1.17,9.24
35.3,Saturday,0,0.0,1,19.8,1,4.1,5,6.5,2,8.5,0.0,2.97,0.41,1.95,0.85,6.11
29.8,Tuesday,1,6.28,1,20.7,1,3.9,2,2.0,3,5.5,8.79,3.1,0.39,0.24,0.82,13.04
33.4,Sunday,1,3.48,1,20.4,1,2.1,4,2.2,2,6.3,6.53,3.06,0.21,0.53,0.63,10.97
30.1,Friday,1,5.42,1,21.1,2,3.3,5,8.5,1,7.3,7.67,3.16,0.66,2.55,0.36,14.33
30.1,Sunday,2,4.75,1,17.9,1,3.7,5,7.5,2,3.7,6.72,2.68,0.37,2.25,0.37,12.19
34.7,Tuesday,0,0.0,1,19.8,1,2.3,4,2.7,2,8.1,0.0,2.97,0.23,0.65,0.81,4.56
27.4,Saturday,1,3.2,1,19.3,1,3.9,6,8.6,0,8.7,4.48,2.9,0.39,3.1,0.0,10.92
30.5,Saturday,2,6.2,1,18.5,1,3.7,3,5.0,0,4.5,9.11,2.78,0.37,0.9,0.0,12.89
27.7,Friday,1,3.31,1,18.9,1,2.6,4,4.3,1,11.7,4.63,2.83,0.26,1.03,0.58,9.31
27.8,Friday,1,4.62,1,18.7,1,1.6,6,9.5,1,7.6,6.47,2.8,0.16,3.42,0.38,13.4
28.5,Saturday,1,3.98,1,20.5,2,3.6,2,2.7,2,5.7,5.57,3.08,0.72,0.32,0.57,10.2
31.1,Wednesday,2,4.82,1,20.6,1,5.0,2,2.4,2,1.8,7.49,3.09,0.5,0.29,0.18,11.77
27.6,Sunday,0,0.0,1,21.3,1,3.3,3,2.1,1,5.8,0.0,3.2,0.33,0.38,0.29,4.36
36.3,Tuesday,2,3.23,1,20.5,1,3.6,4,5.9,2,6.8,7.37,3.08,0.36,1.42,0.68,12.96
25.5,Sunday,1,4.07,1,20.2,1,1.8,3,0.0,2,6.6,5.7,3.03,0.18,0.0,0.66,9.57
29.1,Tuesday,0,0.0,1,20.1,1,3.0,2,4.6,1,3.4,0.0,3.02,0.3,0.55,0.17,4.04
27.8,Wednesday,1,3.58,1,21.0,1,2.9,4,8.5,0,4.7,5.01,3.15,0.29,2.04,0.0,10.56
37.2,Thursday,1,5.38,1,16.8,0,2.1,4,2.6,1,7.4,12.95,2.52,0.0,0.62,0.37,16.76
31.0,Tuesday,1,2.66,1,19.9,1,3.4,3,1.1,1,7.2,4.09,2.98,0.34,0.2,0.36,8.05
35.2,Sunday,1,5.96,1,20.5,1,3.4,3,6.3,1,7.9,12.68,3.08,0.34,1.13,0.4,17.85
22.6,Monday,2,3.67,1,22.7,1,2.7,4,4.9,1,6.2,5.14,3.4,0.27,1.18,0.31,10.13
31.3,Saturday,0,0.0,1,18.3,1,3.0,6,8.2,2,5.9,0.0,2.74,0.3,2.95,0.59,6.5
34.4,Saturday,1,5.11,1,18.3,1,5.1,5,6.7,2,7.0,10.3,2.74,0.51,2.01,0.7,16.26
30.4,Wednesday,1,4.8,1,16.6,1,2.4,5,2.3,1,6.2,6.99,2.49,0.24,0.69,0.31,10.92
35.3,Tuesday,1,3.21,1,17.9,1,1.9,3,5.6,1,2.9,6.87,2.68,0.19,1.01,0.14,10.62
27.4,Thursday,1,5.1,1,19.8,1,1.8,3,4.9,2,9.0,7.14,2.97,0.18,0.88,0.9,12.52
37.0,Tuesday,0,0.0,1,18.9,1,3.2,4,5.4,3,7.8,0.0,2.83,0.32,1.3,1.17,5.62
41.5,Saturday,1,4.48,1,18.9,2,0.5,5,0.0,2,6.8,13.48,2.83,0.1,0.0,0.68,17.27
28.2,Friday,1,3.89,1,20.0,1,2.5,4,6.7,2,3.3,5.45,3.0,0.25,1.61,0.33,10.64
27.8,Monday,0,0.0,1,20.9,1,2.0,5,7.9,1,7.7,0.0,3.14,0.2,2.37,0.38,5.97
37.3,Wednesday,2,4.96,1,20.0,0,2.9,6,7.6,1,5.1,12.01,3.0,0.0,2.74,0.26,18.27
37.9,Friday,2,5.51,1,20.0,1,2.9,2,4.0,3,7.7,13.8,3.0,0.29,0.48,1.16,18.7
27.4,Sunday,1,5.59,1,20.6,1,3.3,1,2.1,0,7.1,7.83,3.09,0.33,0.13,0.0,11.27
27.9,Thursday,1,2.96,1,17.3,2,3.6,2,3.1,3,5.3,4.14,2.6,0.72,0.37,0.8,8.69
28.6,Friday,1,4.81,1,20.2,2,4.1,3,1.0,2,8.1,6.73,3.03,0.82,0.18,0.81,11.66
23.3,Sunday,1,3.53,1,19.9,1,2.6,2,1.0,2,3.6,4.94,2.98,0.26,0.12,0.36,8.71
25.4,Friday,1,4.88,1,20.0,1,2.3,6,5.2,0,6.1,6.83,3.0,0.23,1.87,0.0,11.99
25.0,Thursday,1,5.29,1,19.1,1,3.9,1,1.2,2,9.3,7.41,2.86,0.39,0.07,0.93,11.72
26.2,Friday,0,0.0,1,19.7,1,1.3,3,5.7,2,7.0,0.0,2.95,0.13,1.03,0.7,4.99
29.8,Wednesday,0,0.0,1,20.6,1,3.8,2,3.1,1,7.8,0.0,3.09,0.38,0.37,0.39,4.24
31.2,Saturday,0,0.0,1,22.4,1,3.1,6,7.3,1,6.2,0.0,3.36,0.31,2.63,0.31,6.51
37.8,Tuesday,0,0.0,1,17.5,2,3.4,5,8.8,3,6.0,0.0,2.62,0.68,2.64,0.9,6.95
25.0,Friday,0,0.0,1,20.9,1,3.4,6,4.9,2,3.6,0.0,3.14,0.34,1.76,0.36,5.23
34.9,Wednesday,2,4.21,1,21.8,1,3.1,6,10.5,2,5.7,8.78,3.27,0.31,3.78,0.57,16.8
28.9,Tuesday,1,3.55,1,18.1,1,3.2,4,5.9,1,7.3,4.97,2.72,0.32,1.42,0.36,10.02
29.8,Sunday,0,0.0,1,19.7,1,1.9,3,5.0,2,3.8,0.0,2.95,0.19,0.9,0.38,4.53
33.4,Tuesday,1,4.22,1,20.4,1,2.3,2,3.8,2,4.1,7.92,3.06,0.23,0.46,0.41,11.84
24.4,Sunday,2,3.63,1,23.0,2,4.8,3,3.9,2,6.8,5.08,3.45,0.96,0.7,0.68,11.09
31.9,Friday,1,4.16,1,23.3,1,3.7,5,0.0,2,7.7,6.93,3.5,0.37,0.0,0.77,11.49
30.8,Wednesday,1,4.74,1,18.1,1,4.1,1,0.9,2,10.0,7.17,2.72,0.41,0.05,1.0,11.38
32.5,Saturday,2,4.92,1,19.5,1,2.7,2,3.7,2,5.5,8.61,2.92,0.27,0.44,0.55,12.98
31.4,Friday,1,4.2,1,20.3,0,3.1,4,3.8,1,5.5,6.7,3.04,0.0,0.91,0.28,10.84
42.3,Sunday,1,5.59,1,20.8,2,3.5,4,3.6,3,7.7,17.46,3.12,0.7,0.86,1.16,23.32
26.8,Thursday,1,4.71,1,20.3,1,4.2,5,6.9,2,7.1,6.59,3.04,0.42,2.07,0.71,12.63
27.3,Tuesday,1,3.16,1,18.6,2,2.8,3,6.2,1,5.5,4.42,2.79,0.56,1.12,0.28,9.14
26.9,Friday,1,4.82,1,18.5,1,3.5,5,8.2,2,5.9,6.75,2.78,0.35,2.46,0.59,12.75
27.2,Sunday,1,3.33,1,17.7,1,3.7,4,10.0,2,4.7,4.66,2.66,0.37,2.4,0.47,10.63
26.8,Tuesday,1,5.31,1,17.0,0,3.9,2,3.2,1,3.7,7.43,2.55,0.0,0.38,0.19,10.33
35.9,Sunday,1,4.82,1,17.7,1,2.8,5,7.9,1,5.7,10.73,2.66,0.28,2.37,0.29,16.32
37.1,Wednesday,0,0.0,1,21.7,1,4.3,6,7.1,2,9.0,0.0,3.26,0.43,2.56,0.9,7.06
27.1,Monday,0,0.0,1,21.1,1,1.6,2,0.6,1,4.6,0.0,3.16,0.16,0.07,0.23,3.51
25.8,Friday,1,4.45,1,20.8,1,1.9,3,4.3,2,3.1,6.23,3.12,0.19,0.77,0.31,10.79
32.4,Saturday,2,4.46,1,19.7,1,3.5,4,5.4,1,4.0,7.74,2.95,0.35,1.3,0.2,12.38
27.2,Friday,1,4.11,1,19.9,2,3.5,2,3.6,2,7.1,5.75,2.98,0.7,0.43,0.71,10.49
33.2,Tuesday,1,4.31,1,19.6,2,2.8,6,9.2,1,6.9,7.96,2.94,0.56,3.31,0.34,15.14
31.0,Wednesday,1,4.9,1,17.6,0,2.6,3,4.5,0,8.5,7.55,2.64,0.0,0.81,0.0,11.1
22.4,Sunday,0,0.0,1,21.0,2,2.6,5,10.5,3,8.1,0.0,3.15,0.52,3.15,1.22,7.77
37.7,Thursday,0,0.0,1,21.3,1,2.1,5,5.8,2,6.6,0.0,3.2,0.21,1.74,0.66,5.78
39.0,Saturday,1,6.49,1,18.3,1,3.0,4,7.6,1,7.3,17.27,2.74,0.3,1.82,0.36,22.6
26.9,Wednesday,0,0.0,1,18.3,1,1.4,2,4.4,1,4.5,0.0,2.74,0.14,0.53,0.22,3.88
28.1,Friday,0,0.0,1,20.5,2,4.1,3,2.9,2,7.4,0.0,3.08,0.82,0.52,0.74,5.16
31.4,Thursday,1,4.71,1,20.5,1,3.4,1,1.1,2,5.8,7.51,3.08,0.34,0.07,0.58,11.37
31.7,Wednesday,0,0.0,1,21.1,1,4.3,3,2.5,3,7.7,0.0,3.16,0.43,0.45,1.16,5.2
33.3,Monday,1,5.0,1,22.1,1,3.2,3,1.3,3,6.8,9.31,3.32,0.32,0.23,1.02,14.13
40.1,Saturday,1,3.37,1,18.4,1,3.0,5,12.8,2,5.1,9.49,2.76,0.3,3.84,0.51,16.95
29.1,Tuesday,1,2.86,1,19.9,1,3.1,3,10.4,2,3.8,4.0,2.98,0.31,1.87,0.38,9.82
26.0,Wednesday,1,3.66,1,18.5,1,2.3,5,7.4,2,5.0,5.12,2.78,0.23,2.22,0.5,10.67
23.1,Wednesday,1,1.99,1,18.6,1,1.8,4,4.5,2,6.4,2.79,2.79,0.18,1.08,0.64,7.64
26.3,Monday,1,4.12,1,19.4,2,2.0,5,12.5,1,4.4,5.77,2.91,0.4,3.75,0.22,13.19
29.8,Friday,1,4.07,1,22.2,1,2.6,6,10.4,1,5.7,5.7,3.33,0.26,3.74,0.29,13.42
39.0,Sunday,2,3.76,1,21.7,1,2.1,3,2.5,1,8.2,9.99,3.26,0.21,0.45,0.41,14.36
27.4,Sunday,0,0.0,1,19.9,1,4.3,6,4.5,1,8.3,0.0,2.98,0.43,1.62,0.42,5.76
31.1,Saturday,0,0.0,1,16.8,1,2.3,4,7.5,1,7.0,0.0,2.52,0.23,1.8,0.35,5.09
29.9,Saturday,2,2.6,1,20.6,1,3.4,5,7.9,2,8.7,3.64,3.09,0.34,2.37,0.87,10.22
35.9,Tuesday,1,3.93,1,20.6,0,3.6,5,10.4,2,3.5,8.74,3.09,0.0,3.12,0.35,15.31
42.6,Wednesday,1,4.83,1,18.6,2,4.2,4,7.2,2,8.6,15.28,2.79,0.84,1.73,0.86,21.34
27.3,Thursday,1,3.65,1,21.2,1,3.7,3,1.6,1,3.3,5.11,3.18,0.37,0.29,0.16,9.32
27.6,Wednesday,0,0.0,1,18.6,2,2.8,2,1.6,1,6.0,0.0,2.79,0.56,0.19,0.3,3.85
35.2,Sunday,1,6.13,1,21.2,0,4.7,4,3.0,2,4.4,13.04,3.18,0.0,0.72,0.44,17.09
33.4,Tuesday,1,5.48,1,20.4,1,1.8,6,8.9,1,7.5,10.28,3.06,0.18,3.2,0.38,16.73
39.2,Wednesday,1,4.11,1,17.8,1,2.1,5,6.3,2,2.9,11.04,2.67,0.21,1.89,0.29,16.02
32.9,Monday,1,3.25,1,19.5,0,3.2,3,3.1,3,2.5,5.87,2.92,0.0,0.56,0.38,9.6
28.2,Sunday,1,3.6,1,20.2,1,3.1,5,5.6,1,4.7,5.04,3.03,0.31,1.68,0.24,10.23
33.0,Wednesday,1,5.75,1,20.5,1,3.8,5,8.9,1,4.5,10.47,3.08,0.38,2.67,0.22,16.79
35.5,Wednesday,0,0.0,1,21.5,1,3.2,3,3.6,2,4.9,0.0,3.22,0.32,0.65,0.49,4.87
34.1,Sunday,1,4.58,1,21.7,1,3.4,1,0.9,3,4.7,9.04,3.26,0.34,0.05,0.7,13.6
32.5,Thursday,1,4.02,1,19.6,1,4.0,2,0.9,2,7.4,7.04,2.94,0.4,0.11,0.74,11.56
35.3,Sunday,1,5.96,1,20.8,2,3.1,6,4.4,3,5.8,12.76,3.12,0.62,1.58,0.87,19.21
35.8,Monday,1,5.76,1,22.4,1,3.7,5,10.2,1,9.1,12.73,3.36,0.37,3.06,0.46,20.07
36.9,Monday,0,0.0,1,18.5,1,2.2,3,2.7,3,6.5,0.0,2.78,0.22,0.49,0.98,4.26
33.2,Wednesday,1,5.74,1,19.1,1,2.3,3,7.6,1,7.8,10.61,2.86,0.23,1.37,0.39,15.58
29.2,Saturday,1,1.71,1,17.5,1,3.9,5,8.8,1,7.2,2.39,2.62,0.39,2.64,0.36,8.16
30.7,Thursday,0,0.0,1,19.1,1,3.1,6,4.7,3,4.2,0.0,2.86,0.31,1.69,0.63,5.54
36.0,Wednesday,1,5.45,1,20.3,1,3.2,5,4.6,3,5.0,12.21,3.04,0.32,1.38,0.75,17.48
25.9,Sunday,1,5.45,1,16.8,1,2.3,4,0.0,1,8.0,7.63,2.52,0.23,0.0,0.4,11.07
31.8,Wednesday,1,4.55,1,20.7,1,2.6,3,3.1,1,2.4,7.52,3.1,0.26,0.56,0.12,11.62
28.0,Tuesday,1,3.34,1,19.3,1,3.3,4,10.5,0,7.0,4.68,2.9,0.33,2.52,0.0,10.4
30.1,Tuesday,1,3.12,1,19.9,1,2.7,3,7.3,1,5.6,4.41,2.98,0.27,1.31,0.28,9.18
36.4,Saturday,2,6.38,1,18.2,1,2.1,5,12.0,1,4.5,14.65,2.73,0.21,3.6,0.22,21.4
31.0,Thursday,1,6.04,1,19.8,0,2.1,3,5.2,3,5.5,9.31,2.97,0.0,0.94,0.82,13.93
30.2,Friday,2,3.71,1,22.5,1,2.4,5,6.1,2,9.2,5.29,3.38,0.24,1.83,0.92,11.61
23.2,Tuesday,2,3.64,1,19.4,1,2.7,3,4.2,2,2.6,5.1,2.91,0.27,0.76,0.26,9.0
33.7,Friday,0,0.0,1,16.7,0,2.7,5,8.5,2,3.6,0.0,2.5,0.0,2.55,0.36,5.27
33.2,Monday,1,5.27,1,21.8,1,4.6,3,4.0,2,2.1,9.74,3.27,0.46,0.72,0.21,14.23
40.8,Tuesday,1,4.79,1,20.8,0,3.9,4,3.2,2,5.1,13.96,3.12,0.0,0.77,0.51,18.44
28.5,Tuesday,2,3.27,1,20.1,2,3.3,4,5.1,2,4.8,4.58,3.02,0.66,1.22,0.48,9.97
31.1,Thursday,1,3.35,1,20.9,1,4.9,2,0.9,1,6.3,5.21,3.14,0.49,0.11,0.32,9.4
31.2,Saturday,2,5.27,1,20.1,0,2.9,6,10.4,2,5.0,8.27,3.02,0.0,3.74,0.5,15.47
37.9,Friday,1,4.35,1,22.5,0,3.5,4,2.9,2,6.9,10.9,3.38,0.0,0.7,0.69,15.69
29.5,Sunday,1,3.7,1,21.1,1,3.3,4,6.9,2,4.4,5.18,3.16,0.33,1.66,0.44,10.46
31.4,Tuesday,0,0.0,1,19.3,1,3.5,5,3.1,3,10.2,0.0,2.9,0.35,0.93,1.53,5.85
33.0,Tuesday,0,0.0,1,22.2,1,2.3,6,7.3,2,7.2,0.0,3.33,0.23,2.63,0.72,7.1
30.9,Thursday,1,4.64,1,22.7,2,2.7,4,6.1,2,7.0,7.08,3.4,0.54,1.46,0.7,13.28
27.8,Thursday,0,0.0,1,21.4,1,2.2,6,7.3,1,7.3,0.0,3.21,0.22,2.63,0.36,6.29
31.0,Saturday,2,3.85,1,20.6,1,3.4,2,3.5,2,3.9,5.93,3.09,0.34,0.42,0.39,10.25
35.4,Friday,0,0.0,1,18.7,1,3.0,2,3.3,1,5.5,0.0,2.8,0.3,0.4,0.28,3.81
24.9,Monday,1,4.42,1,21.0,2,1.1,4,4.2,0,5.6,6.19,3.15,0.22,1.01,0.0,10.28
30.7,Sunday,1,4.31,1,20.6,1,3.5,3,2.8,1,5.1,6.45,3.09,0.35,0.5,0.26,10.84
26.5,Saturday,1,4.16,1,20.0,1,3.2,4,3.6,2,5.3,5.82,3.0,0.32,0.86,0.53,10.37
36.0,Monday,1,3.46,1,21.0,1,4.7,3,2.4,1,7.7,7.74,3.15,0.47,0.43,0.38,12.26
22.4,Wednesday,1,4.17,1,20.1,1,3.9,4,10.9,3,5.9,5.84,3.02,0.39,2.62,0.89,12.76
27.2,Tuesday,0,0.0,1,20.8,1,4.1,5,4.6,1,6.6,0.0,3.12,0.41,1.38,0.33,5.44
31.9,Friday,0,0.0,1,21.6,2,1.9,4,8.2,3,2.6,0.0,3.24,0.38,1.97,0.39,5.85
37.8,Saturday,1,5.2,1,18.0,1,4.1,6,8.7,2,2.5,12.96,2.7,0.41,3.13,0.25,19.37
29.7,Tuesday,1,4.43,1,18.5,1,2.8,5,5.5,1,4.1,6.2,2.78,0.28,1.65,0.2,11.21
27.2,Friday,1,2.14,1,18.6,1,2.3,3,4.4,1,9.3,3.0,2.79,0.23,0.79,0.47,7.19
39.4,Friday,1,6.31,1,22.9,1,0.7,3,4.5,2,10.0,17.13,3.43,0.07,0.81,1.0,22.65
22.8,Friday,1,2.4,1,21.0,1,4.3,3,0.5,2,8.0,3.36,3.15,0.43,0.09,0.8,7.72
